;xcfd_grid;ycfd_grid;u_f;v_f;U_mag;flow_angle
6474;3.375;1.325;0.61556;-0.021584;0.6159382945198325;-2.008196854036408
6475;3.325;1.375;0.61899;-0.020516;0.6193299010672745;-1.8983344745766806
6476;3.375;1.375;0.61751;-0.021396;0.6178805620150225;-1.9844379363088813
6477;3.425;1.325;0.61484;-0.022368;0.615246741579344;-2.0835128505991083
6478;3.475;1.325;0.61448;-0.023327;0.6149226124716833;-2.1740287114548402
6479;3.425;1.375;0.61682;-0.022784;0.6172406524654708;-2.115420732045724
6480;3.475;1.375;0.61651;-0.024399;0.6169926185141926;-2.266355052500701
6481;3.525;1.325;0.61475;-0.024267;0.6152287784141766;-2.260553337242339
6482;3.575;1.325;0.61554;-0.02491;0.6160438293660606;-2.3174115447174723
6483;3.525;1.375;0.6173;-0.026035;0.6178487769875408;-2.415052803368967
6484;3.575;1.375;0.61894;-0.027072;0.6195317722151141;-2.504480756930533
6485;3.625;1.325;0.61672;-0.024915;0.617223067962467;-2.3134461136930855
6486;3.675;1.325;0.61791;-0.024123;0.6183806976523443;-2.235672762026518
6487;3.625;1.375;0.62091;-0.027061;0.6214994173939344;-2.495531580952923
6488;3.675;1.375;0.62282;-0.025813;0.6233546850461622;-2.373286032983282
6489;3.725;1.325;0.61895;-0.022684;0.619365535331116;-2.0989030291674418
6490;3.775;1.325;0.61931;-0.020836;0.6196604029595566;-1.9269263157887293
6491;3.725;1.3749;0.62436;-0.023504;0.62480224680774;-2.1558786539385872
6492;3.7751;1.3749;0.62416;-0.020686;0.6245026951070748;-1.8982101246367495
6493;3.825;1.325;0.61916;-0.01905;0.6194529910332179;-1.762291461691818
6494;3.875;1.325;0.61856;-0.017717;0.6188136760681684;-1.6406361053856862
6495;3.8251;1.375;0.62324;-0.018348;0.6235100213340601;-1.6862836336738527
6496;3.8751;1.375;0.62183;-0.016886;0.6220592302152586;-1.555503632005234
6497;3.925;1.325;0.6177;-0.016908;0.6179313638778987;-1.567937834289625
6498;3.975;1.325;0.6168;-0.016447;0.6170192410362906;-1.5274326162283716
6499;3.9251;1.375;0.62035;-0.016261;0.6205630851259201;-1.501528767318784
6500;3.975;1.375;0.61918;-0.016112;0.6193895938292796;-1.4905864585125377
6501;4.025;1.325;0.61607;-0.016131;0.6162811485523471;-1.4998735386985715
6502;4.075;1.325;0.61555;-0.015801;0.6157527702747264;-1.470444057138079
6503;4.025;1.375;0.61845;-0.016047;0.6186581517356738;-1.4863273049628405
6504;4.075;1.375;0.61806;-0.015824;0.618262535316511;-1.4666058163642277
6505;4.125;1.325;0.61521;-0.015397;0.6154026419418429;-1.4336551708743033
6506;4.175;1.325;0.61495;-0.014951;0.6151317215857104;-1.3927318885495374
6507;4.125;1.375;0.61784;-0.015429;0.6180326202078658;-1.4305206621310447
6508;4.175;1.375;0.61762;-0.014975;0.6178015174997549;-1.3889385416389326
6509;4.225;1.325;0.61469;-0.014532;0.6148617528550625;-1.354287853700426
6510;4.275;1.325;0.61439;-0.01421;0.6145543069574892;-1.3249367621362405
6511;4.225;1.375;0.6173;-0.014585;0.6174722764829202;-1.3534804747667128
